Name,Year,Mode,kilometers covered,Fuel used,number of people the car has been used by,amount to be paid every month,total amount to be paid,downpayement
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
n/a,n/a,n/a,n/a,/a,/a,a,n/a,n/a
2015 Maruti Alto K10,2015,Manual,235314,Petrol,1,5990,269299,Zero downpayment
2013 Maruti Wagon R Stingray,2013,Manual,30627,Petrol,1,7932,356599,Zero downpayment
2019 Hyundai Elite i20,2019,Manual,28491,Petrol,1,15753,708199,Zero downpayment
2016 Renault Kwid,2016,Manual,53358,Petrol,2,7305,328399,Zero downpayment
2017 Maruti Swift,2017,Manual,79986,Petrol,1,13175,592299,Zero downpayment
2014 Maruti Swift,2014,Manual,60086,Diesel,2,11280,507099,Zero downpayment
2020 Mahindra XUV 3OO,2020,,20397,Petrol,1,20692,930199,Zero downpayment
2013 Maruti Alto 800,2013,Manual,54468,Petrol,2,5870,263899,Zero downpayment
2015 Hyundai i10,2015,Manual,38202,Petrol,1,8787,394999,Zero downpayment
2014 Maruti Alto K10,2014,Manual,33556,Petrol,3,6518,292999,Zero downpayment
2016 Maruti Swift,2016,Manual,46439,Petrol,2,13026,585599,Zero downpayment
2021 Mahindra XUV500,2021,Manual,15339,Diesel,1,48833,2195299,Zero downpayment
2021 Volkswagen Polo,2021,Automatic,21719,Petrol,1,23001,1033999,Zero downpayment
2016 Maruti Vitara Brezza,2016,Manual,85222,Diesel,1,18710,841099,Zero downpayment
2013 Hyundai i10,2013,Manual,55357,Petrol,1,8424,378699,Zero downpayment
2020 KIA SELTOS,2020,Manual,9213,Petrol,1,27510,1236699,Zero downpayment
2021 Maruti Celerio,2021,Manual,2072,Petrol,1,15965,717699,Zero downpayment
2010 Honda City,2010,Manual,18456,Petrol,1,11011,494999,Zero downpayment
2013 Volkswagen Vento,2013,Manual,56050,Diesel,1,10935,491599,Zero downpayment
2014 Maruti Swift,2014,Manual,31441,Petrol,1,9950,447299,Zero downpayment
